Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
93.998530865,-0.9929428,0.09208547,-0.07441299,-0.08926737,-0.995178,-0.04024218,-0.07777122,-0.03329209,0.9896582
94.999705315,-0.9402696,0.3340826,-0.06228162,-0.3308221,-0.9417593,-0.05703813,-0.07776195,-0.03294583,0.9896705
95.998407841,-0.829609,0.5553975,-0.04618666,-0.551886,-0.8302464,-0.07048237,-0.07759797,-0.03285616,0.9896863
96.999583244,-0.6695542,0.7407306,-0.02804931,-0.7371669,-0.6693583,-0.07946305,-0.07780352,-0.03236898,0.9896866
97.998286247,-0.4815972,0.8743515,-0.008781128,-0.8709894,-0.4805929,-0.08309348,-0.07710347,-0.03219768,0.9897465
98.999461174,-0.4049423,0.9121424,-0.002140883,-0.9091458,-0.4038104,-0.07981174,-0.0739062,-0.03020548,0.9900522
99.998165131,-0.4035481,0.9127561,0.001611475,-0.9100556,-0.4022276,-0.07733089,-0.07017815,-0.03252216,0.9902496
100.999340057,-0.4043769,0.9123867,0.003585588,-0.9098887,-0.4029828,-0.07537148,-0.06756292,-0.03360011,0.9903951
101.998043537,-0.4044067,0.9123685,0.004676575,-0.9099713,-0.4029715,-0.07442724,-0.06625976,-0.03421883,0.9904614
102.999219418,-0.3756809,0.9244333,0.008728135,-0.92209,-0.3740287,-0.07503749,-0.06635579,-0.036107,0.9903883
103.997923374,-0.1725791,0.9818506,0.02459627,-0.9796069,-0.1702885,-0.07599916,-0.07075293,-0.03707928,0.9900487
104.999099255,0.07620366,0.992562,0.04189581,-0.9906866,0.07904238,-0.07081471,-0.07399033,-0.03599184,0.9898533
105.997803211,0.3178925,0.9416704,0.05755533,-0.9403609,0.3211502,-0.06060902,-0.07600804,-0.0347685,0.9897445
106.998979092,0.5411845,0.8317411,0.07022158,-0.8311676,0.5446632,-0.0456504,-0.07671195,-0.03362004,0.9897296
107.997683048,0.7308253,0.6693193,0.07894378,-0.669544,0.7343349,-0.0276662,-0.07701465,-0.032654,0.9897385
108.998859406,0.8720449,0.4690607,0.08302929,-0.470111,0.8753782,-0.007756812,-0.07685962,-0.03235164,0.9897606
109.997564316,0.9617522,0.2346478,0.08210728,-0.2364659,0.9647101,0.01291868,-0.07671399,-0.0319916,0.9897833
110.998740673,0.9902769,-0.01446659,0.07562499,0.01197834,0.9926323,0.0331441,-0.0760588,-0.03213611,0.9898293
111.997445107,0.9565926,-0.2597619,0.06525064,0.2567586,0.9582694,0.05085931,-0.07621607,-0.032178,0.9898155
112.998621941,0.862898,-0.4902523,0.04995678,0.4869445,0.8637276,0.06549925,-0.07568389,-0.03252354,0.9898455
113.999799252,0.7147706,-0.6902997,0.03199691,0.6868796,0.7147371,0.07603928,-0.07572254,-0.03273946,0.989835
