Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
266.890704155,100.0117,15372286728.0913,4.166875,1.5625,1
267.945519924,100.0117,15372286728.0913,4.165625,0.3125,1
268.824629307,100.0117,15372286728.0913,4.1675,-0.3125,1
269.879290104,100.0117,15372286728.0913,4.1675,0.625,1
270.934060097,100.0117,15372286728.0913,4.166875,1.875,1
271.988975525,100.0117,15372286728.0913,4.166875,0.625,1
272.867849827,100.0117,15372286728.0913,4.168125,0.625,1
273.922627449,100.0117,15372286728.0913,4.166875,0.625,1
274.977551937,100.0117,15372286728.0913,4.1675,-0.625,1
275.856441021,100.0117,15372286728.0913,4.16625,-0.3125,1
276.911247730,100.0117,15372286728.0913,4.164375,1.25,1
277.966079235,100.0117,15372286728.0913,4.16625,1.5625,1
278.844996929,100.0117,15372286728.0913,4.16625,-0.3125,1
279.899840355,100.0117,15372286728.0913,4.1675,-0.625,1
280.954698086,100.0117,15372286728.0913,4.16625,0,1
281.833556175,100.0117,15372286728.0913,4.166875,-1.25,1
282.888418674,100.0117,15372286728.0913,4.166875,0.625,1
283.943182945,100.0117,15372286728.0913,4.165,-0.3125,1
284.997961521,100.0117,15372286728.0913,4.166875,0,1
285.877033234,100.0117,15372286728.0913,4.16625,-0.3125,1
286.931692600,100.0117,15372286728.0913,4.165625,0,1
287.986516476,100.0117,15372286728.0913,4.165625,0,1
288.865611076,100.0117,15372286728.0913,4.16625,0,1
289.920307159,100.0117,15372286728.0913,4.16625,0,1
290.975038052,100.0117,15372286728.0913,4.166875,0.625,1
291.854137897,100.0117,15372286728.0913,4.165625,-1.25,1
292.908869743,100.0117,15372286728.0913,4.165625,0.3125,1
293.963611126,100.0117,15372286728.0913,4.1675,-0.3125,1
294.842638969,100.0117,15372286728.0913,4.165625,0.625,1
295.897398472,100.0117,15372286728.0913,4.16625,0,1
296.952321053,100.0117,15372286728.0913,4.1675,0,1
297.831163406,100.0117,15372286728.0913,4.16625,-0.9375,1
298.886006355,100.0117,15372286728.0913,4.166875,-0.3125,1
299.940850735,100.0117,15372286728.0913,4.166875,0.625,1
300.995528698,100.0117,15372286728.0913,4.1675,0.3125,1
301.874534607,100.0117,15372286728.0913,4.165625,0,1
302.929431915,100.0117,15372286728.0913,4.16625,-0.3125,1
303.984114647,100.0117,15372286728.0913,4.166875,0,1
304.863101482,100.0117,15372286728.0913,4.1675,-1.5625,1
305.917999744,100.0117,15372286728.0913,4.166875,-1.5625,1
306.972675800,100.0117,15372286728.0913,4.16625,-0.3125,1
307.851795673,100.0117,15372286728.0913,4.166875,0.625,1
308.906614304,100.0117,15372286728.0913,4.166875,0.9375,1
309.961253166,100.0117,15372286728.0913,4.165,-0.3125,1
310.840351582,100.0117,15372286728.0913,4.16625,-0.625,1
311.895053864,100.0117,15372286728.0913,4.165,-0.625,1
312.949844837,100.0117,15372286728.0913,4.16625,0.625,1
313.828920841,100.0117,15372286728.0913,4.165625,-0.3125,1
314.883618355,100.0117,15372286728.0913,4.166875,-0.625,1
315.938368320,100.0117,15372286728.0913,4.1675,0.9375,1
316.993278980,100.0117,15372286728.0913,4.166875,-0.625,1
317.872154713,100.0117,15372286728.0913,4.1675,-0.625,1
318.926951408,100.0117,15372286728.0913,4.1675,0.9375,1
319.981849194,100.0117,15372286728.0913,4.1675,0,1
320.860742569,100.0117,15372286728.0913,4.165,-1.25,1
321.915627956,100.0117,15372286728.0913,4.165625,0,1
322.970416546,100.0117,15372286728.0913,4.1675,0,1
323.849328041,100.0117,15372286728.0913,4.1675,-0.3125,1
324.904235840,100.0117,15372286728.0913,4.165,-0.3125,1
325.958876610,100.0117,15372286728.0913,4.1675,-1.5625,1
326.837859154,100.0117,15372286728.0913,4.1675,0.3125,1
327.892803669,100.0117,15372286728.0913,4.166875,0,1
328.947483540,100.0117,15372286728.0913,4.165625,0.625,1
329.826460361,100.0117,15372286728.0913,4.165625,-1.5625,1
330.881383419,100.0117,15372286728.0913,4.165625,-0.625,1
331.936030388,100.0117,15372286728.0913,4.16625,0.9375,1
332.990840912,100.0117,15372286728.0913,4.1675,1.25,1
333.869942188,100.0117,15372286728.0913,4.165625,0.3125,1
334.924622059,100.0117,15372286728.0913,4.166875,-0.625,1
335.979415894,100.0117,15372286728.0913,4.166875,-1.25,1
336.858351231,100.0117,15372286728.0913,4.166875,-0.3125,1
337.913171291,100.0117,15372286728.0913,4.165625,0.625,1
338.968091965,100.0117,15372286728.0913,4.16625,0.625,1
339.846946716,100.0117,15372286728.0913,4.16625,0.625,1
