Time (s),Percentage (%),Time To Empty (minutes),Voltage (V),Current (mA),Is Charger Connected (Boolean)
122.972317219,100.0117,15372286728.0913,4.155,-0.625,1
123.851358414,100.0117,15372286728.0913,4.15375,-0.625,1
124.906115532,100.0117,15372286728.0913,4.15625,0,1
125.961027145,100.0117,15372286728.0913,4.155625,-0.3125,1
126.839895248,100.0117,15372286728.0913,4.15625,1.875,1
127.894711971,100.0117,15372286728.0913,4.155,-0.3125,1
128.949568272,100.0117,15372286728.0913,4.154375,0.625,1
129.828437805,100.0117,15372286728.0913,4.155625,0,1
130.883400917,100.0117,15372286728.0913,4.155,-0.3125,1
131.938064575,100.0117,15372286728.0913,4.155625,-1.5625,1
132.992808342,100.0117,15372286728.0913,4.15625,0,1
133.871941090,100.0117,15372286728.0913,4.15625,0.625,1
134.926599026,100.0117,15372286728.0913,4.1575,-0.3125,1
135.981374741,100.0117,15372286728.0913,4.15625,-0.3125,1
136.860427380,100.0117,15372286728.0913,4.15625,0,1
137.915174961,100.0117,15372286728.0913,4.155,1.5625,1
138.970069408,100.0117,15372286728.0913,4.15625,-0.3125,1
139.848946094,100.0117,15372286728.0913,4.15625,0.625,1
140.903717518,100.0117,15372286728.0913,4.155625,0.3125,1
141.958685398,100.0117,15372286728.0913,4.155,-0.3125,1
142.837512493,100.0117,15372286728.0913,4.154375,0,1
143.892455101,100.0117,15372286728.0913,4.154375,-0.625,1
144.947112560,100.0117,15372286728.0913,4.155625,0.9375,1
145.826111794,100.0117,15372286728.0913,4.154375,0.9375,1
146.880990505,100.0117,15372286728.0913,4.154375,0.9375,1
147.935660362,100.0117,15372286728.0913,4.153125,-0.625,1
148.990452290,100.0117,15372286728.0913,4.15625,0,1
149.869450092,100.0117,15372286728.0913,4.155,0.3125,1
150.924223423,100.0117,15372286728.0913,4.1575,0.3125,1
151.979117393,100.0117,15372286728.0913,4.155,0,1
152.858017445,100.0117,15372286728.0913,4.154375,-0.9375,1
153.912786007,100.0117,15372286728.0913,4.155625,-1.5625,1
154.967701912,100.0117,15372286728.0913,4.15625,0.9375,1
155.846581459,100.0117,15372286728.0913,4.154375,-2.5,1
156.901504040,100.0117,15372286728.0913,4.155625,-0.625,1
157.956173897,100.0117,15372286728.0913,4.155,1.875,1
158.835129738,100.0117,15372286728.0913,4.155625,-0.625,1
159.890053272,100.0117,15372286728.0913,4.155625,0.3125,1
160.944744587,100.0117,15372286728.0913,4.155625,0,1
161.999498367,100.0117,15372286728.0913,4.155625,0.9375,1
162.878621101,100.0117,15372286728.0913,4.15625,0,1
163.933315754,100.0117,15372286728.0913,4.15625,0.625,1
164.988173962,100.0117,15372286728.0913,4.155,-1.25,1
165.867074966,100.0117,15372286728.0913,4.155,-0.3125,1
166.921890259,100.0117,15372286728.0913,4.15625,-0.3125,1
167.976745605,100.0117,15372286728.0913,4.155625,-0.625,1
168.855642319,100.0117,15372286728.0913,4.155625,0.9375,1
169.910541534,100.0117,15372286728.0913,4.155625,0.625,1
170.965242863,100.0117,15372286728.0913,4.15625,-1.25,1
171.844229221,100.0117,15372286728.0913,4.155,-0.9375,1
172.899105549,100.0117,15372286728.0913,4.156875,0,1
173.953802586,100.0117,15372286728.0913,4.155,-1.5625,1
174.832819462,100.0117,15372286728.0913,4.15625,0,1
175.887661457,100.0117,15372286728.0913,4.155625,-0.625,1
176.942330360,100.0117,15372286728.0913,4.15625,-0.9375,1
177.997253895,100.0117,15372286728.0913,4.156875,-0.3125,1
178.876144409,100.0117,15372286728.0913,4.155,0,1
179.930895805,100.0117,15372286728.0913,4.15625,-0.625,1
180.985796928,100.0117,15372286728.0913,4.156875,0.9375,1
181.864698410,100.0117,15372286728.0913,4.155,-0.3125,1
182.919582844,100.0117,15372286728.0913,4.15625,0,1
183.974411488,100.0117,15372286728.0913,4.155625,0,1
184.853296757,100.0117,15372286728.0913,4.155625,1.25,1
185.908152103,100.0117,15372286728.0913,4.15625,1.25,1
186.962876320,100.0117,15372286728.0913,4.15625,0.3125,1
187.841870785,100.0117,15372286728.0913,4.15625,0.625,1
188.896713257,100.0117,15372286728.0913,4.155625,-0.3125,1
189.951456070,100.0117,15372286728.0913,4.155,0.3125,1
190.830533028,100.0117,15372286728.0913,4.155625,-0.3125,1
191.885179996,100.0117,15372286728.0913,4.155625,-0.3125,1
192.939998150,100.0117,15372286728.0913,4.154375,0.9375,1
193.994880676,100.0117,15372286728.0913,4.154375,0,1
194.873754501,100.0117,15372286728.0913,4.155,-1.5625,1
195.928614616,100.0117,15372286728.0913,4.15625,-0.3125,1
