Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
98.000024319,0.151534,-0.1264035,-0.1082588,0.001553743,-0.01573638,0.9943295,4.129142,-9.86376,-13.02394,1007.216
99.001190186,-0.5904083,-1.429599,-42.48971,0.0042843,-0.004507705,0.9840347,9.224549,-7.979905,-13.88223,1007.216
99.999883652,-1.270522,-1.074182,-34.86715,0.004364516,-0.006497693,0.9940227,16.0376,-0.2385702,-13.97421,1007.214
101.001049519,-0.1576086,-0.1856397,-7.852782,0.01031778,-0.01311379,0.9823992,17.37283,5.924967,-14.03078,1007.21
101.999743462,0.02787694,-0.1264035,-0.4131613,0.007380219,-0.0112752,0.991524,17.36665,6.293056,-13.21192,1007.223
103.000909328,0.2133625,-0.06716734,0.07468268,0.0087955,-0.007380065,0.9911174,16.99343,6.290888,-13.58972,1007.206
103.999602795,-0.03395159,0.1105412,-0.1082588,0.007363514,-0.01173257,0.9867396,16.62157,6.288219,-13.58818,1007.21
105.000768661,-0.0957801,0.051305,0.07468268,0.004004902,-0.01378427,0.9981765,17.72642,6.665977,-14.03837,1007.207
105.999462605,-0.0957801,0.051305,0.07468268,0.01137676,-0.01222843,1.00008,17.3637,6.294138,-14.03381,1007.218
107.000628948,-1.210348,0.9987847,42.14798,0.01040881,-0.0184448,0.9842021,17.06496,3.399041,-13.56602,1007.221
107.999322891,0.3971937,0.9987847,36.59875,0.008872404,-0.01364685,0.9871712,12.50734,-5.371686,-13.91725,1007.221
109.000488758,-0.09743448,0.1102421,6.901248,0.0065032,-0.01568844,0.9995582,6.712513,-9.106237,-13.42009,1007.222
109.999182701,-0.2210915,0.2879507,-0.2334704,0.008918202,-0.01369686,0.996243,6.329935,-8.739152,-13.86413,1007.225
111.000349522,0.02622256,-0.1267025,-0.1115094,0.006834224,-0.009321854,0.9867905,6.730777,-9.844582,-13.41404,1007.219
111.999043465,-0.09743448,-1.370662,-40.23668,0.001132694,-0.01962667,0.9966414,11.03976,-6.121286,-13.46249,1007.223
113.000209808,0.6445078,-0.600592,-14.50291,0.003745704,-0.003038035,0.9792916,16.40328,0.1321878,-13.15689,1007.227
113.998904705,-0.4065771,-0.1267025,1.595945,0.00891181,-0.01606788,0.9876001,16.7479,1.181343,-13.54633,1007.228
115.000070572,0.02622256,0.1102421,-0.1115094,0.004921663,-0.01274363,0.9876869,17.48248,1.555851,-13.55243,1007.232
115.998764992,0.02622256,-0.008230202,0.01045158,0.01131807,-0.009786339,0.9958317,16.7479,1.181343,-13.54633,1007.235
116.999931812,-0.2829201,-0.06746637,0.1933931,0.008869993,-0.01364422,0.9866937,17.10149,1.922355,-13.55392,1007.236
117.998626232,-0.2210915,-0.3636473,-14.56389,0.0003442611,-0.06558356,0.9928602,17.48089,1.556434,-13.99499,1007.252
118.999792576,0.7681649,0.05100597,-9.502506,0.006237672,-0.0006548814,0.9926975,17.34838,7.031401,-13.21797,1007.247
120.000959873,0.3353652,0.1694783,0.3153541,0.003379194,-0.01126829,0.9791286,17.36529,6.293556,-13.59126,1007.244
120.999654770,-0.2210915,-0.1859387,0.01045158,0.007385544,-0.01270782,0.9881526,17.37578,5.923884,-13.2089,1007.246
122.000822067,0.02622256,0.1102421,0.01045158,0.01140462,-0.01606365,0.9937954,17.37442,5.924384,-13.58823,1007.234
122.999516487,0.0880511,-0.1267025,0.07143208,0.006914775,-0.01226341,0.9938943,17.36665,6.293056,-13.21192,1007.234
124.000683784,-0.09743448,-0.06746637,-0.05052891,0.006892243,-0.009860801,0.9968076,16.62157,6.288219,-13.58818,1007.228
124.999379158,-1.273046,1.176118,49.95199,-0.007930683,-0.01383721,0.9743593,16.41105,-0.2364845,-13.5332,1007.226
126.000545502,-1.705846,0.6429925,29.88941,0.005619929,0.006608422,0.9899809,8.482425,-7.985825,-13.4366,1007.225
126.999240875,0.7672948,0.465284,-3.162021,0.01437626,-0.01889065,0.9884708,3.748153,-9.497257,-13.02543,1007.234
128.000408649,-0.2219616,-0.008605372,0.191906,0.007426857,-0.01370413,0.9933853,3.771076,-10.54216,-13.83875,1007.232
128.999104023,-0.03647605,0.109867,-0.1129965,0.007840004,-0.007902808,0.9954095,3.764895,-10.17407,-13.01988,1007.222
130.000271320,-0.03647605,0.0506308,-0.1129965,0.01127177,-0.008308982,0.9910862,3.763534,-10.17357,-13.39922,1007.228
130.998966217,-0.1601331,-0.06784154,-0.1129965,0.007377138,-0.009369432,0.996815,4.499637,-9.860593,-13.40481,1007.227
132.000134468,0.02535248,0.1691031,0.008964494,0.004423541,-0.00989135,0.995387,3.763534,-10.17357,-13.39922,1007.226
132.998830318,0.151205,-0.1269969,0.0126417,0.005942239,-0.01229195,0.9962863,4.136752,-10.1714,-13.02142,1007.219
133.999997616,1.574642,-0.6597477,-54.8677,-0.01577465,-0.01114236,0.9897341,12.51647,-5.740859,-13.91422,1007.228
134.998693466,0.09075746,-0.6005115,-22.91391,0.01054545,0.006206894,0.9889927,17.42769,3.770882,-13.57058,1007.228
135.999861240,0.7708712,0.05108642,-4.131921,0.005349271,-0.0069581,0.9925759,17.73714,6.296225,-13.59279,1007.209
136.998557091,0.09075746,0.05108642,-0.04622799,0.002481718,-0.01232998,0.9934379,16.99343,6.290888,-13.58972,1007.208
137.999725342,0.02892892,-0.008149751,-0.1072085,0.008349339,-0.008389326,0.9973072,17.35774,6.662144,-13.15173,1007.205
138.998421669,-0.0328996,0.05108642,0.01475251,0.01083917,-0.01361347,0.9866843,17.34702,7.0319,-13.59731,1007.209
139.999589443,-0.1565567,-0.06738592,0.01475251,0.005427748,-0.0108486,0.9963177,17.36687,6.292973,-13.1487,1007.221
141.000758171,-0.2183852,1.117338,41.90835,-0.002590045,-0.000354338,1.000866,16.40946,-0.2359018,-13.97575,1007.218
