Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
77.997498035,-0.4158136,-0.09105004,-0.7840205,-0.07989798,-0.03537939,0.9919621,-9.231651,-23.10975,-27.27429,995.1556
78.998797894,0.01698603,0.08665846,0.5575505,-0.07692958,-0.03582483,0.9933707,-9.985861,-22.74542,-27.65357,995.1556
79.997625351,-0.106671,0.0274223,-0.05225448,-0.07541454,-0.04155066,0.9832202,-9.597328,-23.48051,-28.09161,995.1498
80.998925209,-0.106671,-0.1502862,0.008726023,-0.07838136,-0.03872893,0.9894996,-9.234604,-23.10867,-28.09617,995.1569
81.997753143,-3.321754,-0.5057033,42.69507,-0.06955706,-0.03617213,0.9895061,-16.91326,-26.05494,-28.92555,995.1533
82.999053001,-2.827126,-0.2687586,36.17016,-0.07263353,-0.02990147,0.9843943,-29.47192,-24.66701,-29.70776,995.1847
83.997879982,-0.4776421,-0.09105004,-0.9059814,-0.0826957,-0.04748594,0.9860035,-34.01328,-21.4386,-29.27347,995.1603
84.999179840,-0.1684995,0.0274223,1.350297,-0.07638242,-0.04110868,0.9880093,-34.00415,-21.80777,-29.27045,995.1516
85.998007298,-0.2303281,0.08665846,0.4355895,-0.07786413,-0.04112648,0.9870614,-34.00415,-21.80777,-29.27045,995.1516
86.999307156,-0.3539851,-0.1502862,0.5575505,-0.07442579,-0.03963741,0.9899389,-34.75699,-21.44394,-29.2704,995.1462
87.998134613,0.2024716,0.264367,-0.4181375,-0.07589959,-0.04156624,0.9846549,-34.38673,-21.44069,-29.71449,995.1497
88.999434471,3.170241,0.7974925,-51.2149,-0.0610967,-0.042324,0.9883848,-26.15661,-25.75212,-28.82716,995.1476
89.998262405,1.253556,-0.2095224,-23.28582,-0.05648325,-0.0481616,1.006868,-12.90903,-24.91968,-28.06617,995.1516
90.999561787,0.3261287,0.3828393,0.5575505,-0.07647137,-0.03482873,0.9895681,-9.233015,-23.10925,-27.65362,995.1588
