Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
104.999330997,0.04813112,0.1475271,13.86079,0.02400536,-0.03474023,0.9943126,6.709257,18.70851,-12.82892,1008.023
105.998170376,0.2336167,0.3844718,13.98275,0.02169069,-0.04112178,1.004225,10.4811,16.58169,-12.82665,1008.025
106.997010231,-0.2610115,0.3252357,14.04373,0.02276572,-0.02211149,0.9821559,12.70346,14.38281,-13.26002,1008.014
107.998322010,0.9137305,0.0290548,14.59256,0.01582437,-0.03507622,1.031595,15.37799,11.50965,-13.24709,1008.021
108.997161388,0.2336167,0.2659995,14.89746,0.01715977,-0.03014266,1.018316,16.95215,8.19611,-11.96157,1008.015
109.998473167,0.1099597,0.2659995,14.89746,0.02716845,-0.02486542,0.9677523,17.41533,4.50706,-11.93286,1008.018
110.997312546,0.1099597,-0.3263623,14.71452,0.01516133,-0.02919026,1.01548,16.0177,0.8661976,-11.89696,1008.025
111.998623848,-0.2610115,-0.5040708,14.89746,0.01309175,-0.0314894,0.9882251,14.99351,-2.772579,-11.42005,1008.016
112.997463226,-0.199183,-0.3855984,15.01942,0.01264352,-0.0334476,0.9910534,12.45285,-5.374878,-11.83066,1008.02
113.998775005,0.3572738,-0.2078899,14.95844,0.01737392,-0.02031925,0.9927249,9.221546,-7.612981,-12.17826,1008.015
114.997614384,0.1717882,0.08829096,8.128627,0.02093612,-0.02847746,0.9906334,6.293715,-9.480687,-11.7715,1008.022
115.998925686,0.1717882,0.08829096,-0.2257012,0.02233935,-0.02456916,0.9878393,5.542458,-9.117435,-11.32889,1008.019
116.997764587,0.04813112,-0.1486537,0.1401817,0.02231748,-0.02406969,0.9849842,5.553178,-9.48719,-10.88331,1008.023
117.999076843,-0.07552592,0.0290548,-0.1037403,0.01895164,-0.0261135,0.9949885,5.170601,-9.120104,-11.32735,1008.026
118.997916222,0.04813112,0.2067633,0.01822074,0.01844954,-0.02563488,0.994523,5.540869,-9.116853,-11.77145,1008.017
119.999227047,-0.9411252,-0.03018137,13.98275,0.01556926,-0.02909046,0.9987663,3.752693,-9.498922,-11.76099,1008.021
120.998066425,-0.32284,-0.08941755,14.7755,0.02222354,-0.0173087,0.9870301,0.06000137,-10.57159,-11.73704,1008.019
121.996905804,0.6664164,0.0290548,14.53158,0.02152999,-0.02953188,1.0078,-4.738035,-9.559853,-11.72587,1008.031
122.998217583,0.1717882,0.0290548,14.83648,0.01736545,-0.02363921,0.9807202,-8.493132,-8.109851,-11.7226,1008.032
123.997056007,-0.7556397,0.3844718,14.59256,0.02346401,-0.03231636,0.9919763,-11.85092,-5.180048,-11.73321,1008.023
124.998368263,-0.4464971,0.2659995,14.71452,0.01882114,-0.02501982,0.9720894,-14.14447,-2.673386,-11.74466,1008.032
125.997207642,-0.2610115,0.1475271,14.71452,0.02605135,-0.0180777,0.9621635,-15.35136,1.010325,-11.77029,1008.03
126.998518467,-0.4464971,0.3844718,14.71452,0.02276532,-0.02781828,0.9643729,-15.83882,5.744779,-11.36502,1008.028
127.997357845,0.6045879,-0.3855984,14.7755,0.0126706,-0.02824555,1.012646,-14.82529,9.814257,-11.84547,1008.026
128.998669624,0.4809308,-0.08941755,14.65354,0.01592074,-0.02607542,0.9797236,-12.67617,13.09179,-12.26075,1008.026
129.997509003,0.5427594,0.6806527,14.53158,0.01846591,-0.02422595,1.002192,-9.475218,16.43848,-12.74412,1008.041
